actual_headline,mt5_headline,mbart_headline,lstm_headline
ရီပတ်ဘလစ်ကန်ပါတီ ကော်မတီ ဥက္ကဋ္ဌနေရာအတွက် ချွေးမဖြစ်သူကို ထရမ့် အဆိုပြု,ရီပတ်ဘလစ်ကန်ပါတီ ကိုယ်စားပြုသမ္မတလောင်းဖြစ်သူကို RNC ဥက္ကဋ္ဌနေရာအတွက် ဒေါ်နယ်ထရမ့်က ရွေးကောက်ပွဲကျင်းပ,ရီပတ်ဘလစ်ကန်သမ္မတလောင်း ဒေါ်နယ်ထရမ့်က သူ့ချွေးမဖြစ်သူကို သမ္မတအဖြစ် ခန့်အပ်,ရီယာတီတီအအဥက္ကဋ္ဌအဥက္ကဋ္ဌအဥက္ကဋ္ဌအဥက္က
ဂါဇာ အပစ်ရပ်ရေး သမ္မတ ဘိုင်ဒင် ကြိုးပမ်း၊ ရာဖာမြို့ကို မတိုက်ခင် အစ္စရေး စဉ်းစားသင့်ဟု ဗြိတိန်ပြော,ဂါဇာကမ်းမြောင်တွင် အစ္စရေးနှင့် ဟားမတ်စ် အပစ်ရပ်ရေး အမေရိကန် ကြိုးပမ်းနေ,ဂါဇာ အပစ်ရပ်ရေး အမေရိကန် ကြိုးပမ်းနေ,ဂါဇာအအအအအအအအအမေရိကန်အမေရိကန်အမေ
တရုတ်လုပ်ငန်းရှင်ထံက ဘတ်ငွေ ၁၀ သန်း ငွေညှစ်ခဲ့သည့် ထိုင်းလဝကရဲ ၅ ဦး ထောင်ဒဏ် ၁၅ နှစ်စီ ကျခံရ,ဘန်ကောက်မြို့တွင် တရုတ်စီးပွါးရေးလုပ်ငန်းရှင် ၁ ဦးထံမှ ဘတ်ငွေ ၁၀ သန်းငွေညှစ်ခံရ,ဘန်ကောက်တွင် တရုတ်စီးပွါးရေးလုပ်ငန်းရှင်ထံမှ ဘတ်ငွေ ၁၀ သန်းငွေညှစ်ခဲ့သည့် ထိုင်းလဝက (ရုပ်သံ),ဘန်ကောက်တွင်မြန်မာအလုပ်သား၁၀၀၀ငွေငွေငွေ၁၀၀၀၀
ကွန်ဂိုတွင် အမေရိကန်အလံ မီးရှို့ ဆန္ဒပြမှုကို ရဲတပ်ဖွဲ့က မျက်ရည်ယိုဗုံး ပစ်ခတ် လူစုခွဲ,ကွန်ဂိုဒီမိုကရက်တစ်သမ္မတ ကင်ရှာဆာ ဆန္ဒပြသူများကို မီးရှို့,ကွန်ဂိုတွင် တာယာနှင့် အမေရိကန်အလံ မီးရှို့ဆန္ဒပြ,ကွန်ဂိုတွင်အမေရိကန်တွင်အကြမ်းဖက်စစ်တပ်ကပစ်ခတ်ဖြိုခွင်း
သေဒဏ်ချမှတ်ခဲ့သည့် အိန္ဒိယရေတပ်အရာရှိဟောင်း ၈ ဦးကို ကာတာ ပြန်လွှတ်ပေး,အိန္ဒိယရေတပ်အရာရှိဟောင်း ၈ ဦးကို သေဒဏ်ချမှတ်ပြီး လအနည်းငယ်အကြာ ပြန်လွှတ်,အိန္ဒိယရေတပ်အရာရှိဟောင်း ၈ ဦးကို သေဒဏ်ချမှတ်ပြီးနောက် ကာတာ ပြန်လွှတ်ပေး,၂၀ကျော်ကိုအခံရသည့်အမေရိကန်အဦးကိုအ
ဖင်လန်သမ္မတရွေးကောက်ပွဲတွင် ဝန်ကြီးချုပ်ဟောင်း စတက်ဘ် အနိုင်ရ,ဖင်လန်သမ္မတရွေးကောက်ပွဲတွင် ဗဟိုလက်ယာယိမ်းဝါဒီ ဝန်ကြီးချုပ်ဟောင်း အလက်ဇန္ဒြားစတက်ဘ် ပြိုင်ဘက် လစ်ဘယ်,ဖင်လန်သမ္မတရွေးကောက်ပွဲတွင် ဝန်ကြီးချုပ်ဟောင်း အလက်ဇန္ဒြားစတက်ဘ် ပြိုင်ဘက်,ဖင်လန်အကြီးချုပ်ကြီးချုပ်ရွေးကောက်ပွဲတွင်အကြီးချုပ်အပါတီအကြီးချုပ်
မြောက်ကိုရီးယားက ဒုံးပစ်လောင်ချာအတွက် ပဲ့ထိန်း ထိန်းချုပ်ရေးစနစ် တီထွင်အောင်မြင်,မြောက်ကိုရီးယား ဒုံးပစ်လောင်ချာအတွက် ပဲ့ထိန်း ထိန်းချုပ်ရေးစနစ်သစ် တီထွင်,မြောက်ကိုရီးယားက ဒုံးပစ်လောင်ချာ ထိန်းချုပ်ရေးစနစ် တီထွင်,မြောက်ကိုရီးယားကဒုံးကျည်ပစ်ဒုံးကျည်ပစ်မှတ်အအအအ
ပါကစ္စတန်တွင် ဒုတိယနှင့် တတိယ မဲအများဆုံးရသည့် ပါတီနှစ်ခု ပူးပေါင်းပြီး အစိုးရဖွဲ့ရန် ကြိုးပမ်း,ပါကစ္စတန်ရွေးကောက်ပွဲတွင် ဝန်ကြီးချုပ်ဟောင်း အင်မရန်ခန်းအင်အားစုများ မဲအများဆုံးရ,ပါကစ္စတန်ရွေးကောက်ပွဲတွင် မဲအများဆုံးရသည့် ပါတီကြီး ၂ ခု ပူးပေါင်းမှုကြောင့် အခြေအနေ ပိုမိုရှုပ်ထောင့်,ပါကစ္စတန်ဝန်ကြီးချုပ်ဟောင်းရွေးကောက်ပွဲတွင်ပါတီအဖြစ်လာ
သမ္မတဖြစ်ပါက ရွှေ့ပြောင်းအခြေချသူများကို အကြီးအကျယ်နှင်ထုတ်မည်ဟု ဒေါ်နယ်ထရမ့် ကြိမ်းဝါး,ရီပတ်ဘလစ်ကန်ပါတီ ကိုယ်စားပြု သမ္မတလောင်းဖြစ်ရန် ဒေါ်နယ်ထရမ့် နှင်ထုတ်မှု လုပ်ဆောင်,ဒေါ်နယ်ထရမ့်က သူသာသမ္မတပြန်ဖြစ်ရင် သမိုင်းတွင် အကြီးကျယ်ဆုံးရွှေ့ပြောင်းအခြေချသူအဖြစ် ရပ်တည်,အရီအအအအအအအအအအအအအအအအအအ
ဟားမတ်စ် စစ်ရှုံးနေပြီဟု အစ္စရေးဝန်ကြီးချုပ် ပြော,ရာဖာမြို့ကို မကျူးကျော်ရန် သတိပေးချက် စစ်ရှုံးနေဟု ဟားမတ်စ်ပြော,ရာဖာမြို့ကို မကျူးကျော်ရန် အစ္စရေးသတိပေးချက် စစ်ရှုံးနေဟု ဟားမတ်စ်ပြော,မရာဇီးအအအအအအအအအဟုအစ္စရေးပြော
အမေရိကန်ကာကွယ်ရေးဝန်ကြီး လွိုက်အော်စတင် ဆေးရုံပြန်တက်,အမေရိကန်ကာကွယ်ရေးဝန်ကြီး လွိုက်အော်စတင်တွင် ကုသမှုခံယူရန် ဝါရှင်တန် ဆေးရုံတင်,အမေရိကန်ကာကွယ်ရေးဝန်ကြီး လွိုက်အော်စတင် ဆေးရုံရောက်,အမေရိကန်သမ္မတဝန်ကြီးချုပ်ရေးဝန်ကြီးချုပ်
အစ္စရေးက ရာဖာ ဒုက္ခသည်စခန်းကို တိုက်ခိုက်၊ ၃၇ ဦးသေဆုံး,ဂါဇာတွင် ဒုက္ခသည်များ ခိုလှုံရာနေရာကို အစ္စရေးတိုက်ခိုက်မှုကြောင့် လူ ၃၇ ဦးသေဆုံး၊ ဒါဇင်ချီ ဒဏ်ရာရ,အစ္စရေး တိုက်ခိုက်မှုကြောင့် ရာဖာဒုက္ခသည်စခန်းကို လူ ၃၇ ဦး သေဆုံး,အစ္စရေးစခန်းတွင်စစ်ရေးစခန်းတိုက်ခိုက်မှုကြောင့်သေဆုံး
ယူကရိန်းမြေပြင်တပ်ဖွဲ့ တပ်မှူးအသစ် ခန့်အပ်,ယူကရိန်းသမ္မတ ဗိုလိုဒီမာဇလန်းစကီး လက်ထောက်ကာကွယ်ရေးဝန်ကြီးဟောင်း အိုလက်စန်ဒါ ပါဗလီယက်ခ်ကို သမ္မတ ဦးဆောင်,ယူကရိန်းမြေပြင်တပ်ဖွဲ့ တပ်မှူးအသစ် ခန့်အပ်,ယူကရိန်းအဖွဲ့အဖွဲ့ဝင်အဖွဲ့ဝင်အဖွဲ့အဖွဲ့
ယူအေအီး စစ်ဘက်အရာရှိ ၃ ဦး၏ ရုပ်အလောင်းများ မြို့တော်ဆီ ပြန်သယ်,အကြမ်းဖက်တိုက်ခိုက်မှုအတွင်း သေဆုံးသည့် အာရပ်စော်ဘွားများပြည်ထောင်စု (ယူအေအီး) စစ်ဘက်အရာရှိ သုံးဦး၏ ရုပ်အလောင်းများ ယူအအေီးတွင် စစ်ကောင်စီ လေ့ကျင့်,စစ်ဘက်အရာရှိ ၃ ဦး၏ ရုပ်အလောင်းများ ယူအေအီးယူ,စစ်ကောင်စီတပ်ကအအအအအအအအအအ
အီရန် အစ္စလာမ္မစ် တော်လှန်ရေး ၄၅ နှစ်မြောက် အထိမ်းအမှတ်ပွဲ ကျင်းပ,အီရန်တွင် အစ္စလာမ္မစ်တော်လှန်ရေး ၄၅ နှစ်မြောက်အထိမ်းအမှတ်ပွဲတွင် လူထောင်ပေါင်းများစွာ ပါဝင်ချီတက်,အီရန် ၄၅ နှစ်မြောက် အစ္စလာမ္မစ် အထိမ်းအမှတ်ပွဲ (ဓာတ်ပုံ),အီရန်အအအအအအအအအအအအအအအအအအ
ပိုက်ဆံမထည့်သည့် နေတိုးမဟာမိတ်ဆိုရင် အမေရိကန်က ကာကွယ်ပေးမည် မဟုတ်ဟု ထရမ့်ပ်ပြော,နေတိုးအဖွဲ့ဝင် အမေရိကန် အကာအကွယ်ပေးမည်မဟုတ်ဟု ဒေါ်နယ်ထရမ့်ပြော,ကိုယ်ထည့်ဝင်ရမည့်ငွေ မပြည့်မီ နေတိုးအဖွဲ့ဝင်ပါက အမေရိကန်က အကာအကွယ်မပေးမည်,အအအအအအအအအအအအအအအအအအအအ
အမေရိကန် တိုက်ခိုက်မှုကြောင့် ကျဆုံးသွားသည့် ဟူသီသူပုန်များဈာပန ယီမင်တွင်ကျင်းပ,အမေရိကန်ဦးဆောင်သည့် တိုက်ခိုက်ရေးသမား ၁၈ ဦးအတွက် ယီမင်မြို့တော် စာနာမြို့တွင် စစ်ဈာပန ကျင်းပ,ယီမင်မြို့တော် စာနာမြို့တွင် စစ်ဈာပန ကျင်းပ,အမေရိကန်တိုက်ခိုက်မှုကြောင့်အမေရိကန်တိုက်ခိုက်မှုတိုက်ခိုက်
တောင်တရုတ်ပင်လယ်တွင် ဖိလစ်ပိုင်ကမ်းခြေစောင့်တပ် ရေယာဉ်ကို တရုတ်စစ်တပ် ပိတ်ဆို့,တောင်တရုတ်ပင်လယ်တွင် တရုတ်စစ်တပ်၏ ရေယာဉ် ကင်းလှည့်နေ,တောင်တရုတ်ပင်လယ်တွင် တရုတ်စစ်တပ်၏ ရေယာဉ် ကင်းလှည့်နေ,တရုတ်ပင်လယ်တရုတ်ပင်လယ်ရေရေရေရေရေရေရေရေ
ကာလီဖိုးနီးယားတွင် ရဟတ်ယာဉ်ပျက်ကျပြီး လူ ၆ ဦး သေဆုံး,အမေရိကန်တွင် ရဟတ်ယာဉ်ပျက်ကျမှုကြောင့် နိုင်ဂျီးရီးယား ရင်းနှီးမြှုပ်နှံသူလုပ်ငန်းများ အပါအဝင် အမှုဆောင်အရာရှိချုပ်အပါအဝင် လူ ၁ ဦး ပါဝင်,ကာလီဖိုးနီးယား ရဟတ်ယာဉ်ပျက်ကျမှုတွင် လူ ၆ ဦး သေဆုံး,အမေရိကန်တွင်ငံတွင်အဟတ်ယာဉ်အကျဆုံး၁ဦးသေဆုံး
ဂါဇာတွင် ဖုန်းဆက်အကူအညီတောင်းသည့် ၆ နှစ်သမီးနှင့် သွားကယ်သည့် ဆေးအကူ ၂ ဦး အလောင်းသာပြန်ရ,ဂါဇာစီးတီးက ၆ နှစ်သမီးကလေး၏ ရုပ်အလောင်းကို သွားကယ်ရန် ကြိုးစားခဲ့သည့် ဆေးအကူဝန်ထမ်း ၂ ဦး၏ အလောင်းများ တွေ့ရှိ,ဂါဇာတွင် ပျောက်ဆုံးနေသည့် ၆ နှစ်သမီးကလေးအလောင်းကို သွားကယ်ခဲ့သည့် ဆေးအကူအညီ,ဂါဇာတွင်စစ်ဆေးရုံအအအအအအအအအအအအအအ
ရီယိုကာနီဗယ်ပွဲတော်၏ ဇာတ်ရှိန်အမြင့်ဆုံး ဆမ်ဘာသရုပ်ပြ ပြိုင်ပွဲစတင်,ရီယိုကာနီဗယ်ပွဲတော် ဇာတ်ရှိန်အမြင့်ဆုံးအချိန်အဖြစ် ကမ္ဘာ့အကြီးဆုံးပါတီပွဲ ကျင်းပ,ကမ္ဘာ့အကြီးဆုံးပါတီပွဲ ရီယိုကာနီဗယ်ပွဲတော် ဇာတ်ရှိန်အမြင့်ဆုံး အချိန်အဖြစ် ဖေဖော်ဝါရီ ၁၁ ရက် တနင်္ဂလာနေ့ ပြသ,လီလီလီတွင်ပွဲပွဲပွဲပွဲပွဲတွင်ပွဲပွဲပွဲပွဲပွဲပွဲပွဲကျင်းပ
ပါကစ္စတန် ဝန်ကြီးချုပ်ဟောင်း ၂ ဦးလုံး ရွေးကောက်ပွဲနိုင်ကြောင်း ကြေညာနေချိန် မင်းမဲ့စရိုက် မလုပ်ရန် စစ်ဦးစီးချုပ် တိုက်တွန်း,ပါကစ္စတန်ရွေးကောက်ပွဲ အနိုင်ရဟု ဝန်ကြီးချုပ်ဟောင်း ၂ ဦး ဦးဆောင်သည့် ပါတီအင်အားစုများ ကြေညာ,ပါကစ္စတန် ရွေးကောက်ပွဲအနိုင်ရကြောင်း ကြေညာနေချိန် မင်းမဲ့စရိုက်နှင့် နှစ်ခြမ်းကွဲမှု မဖြစ်စေရန် မလုပ်ရန် ဩဇာ,ပါကစ္စတန်ရွေးကောက်ပွဲတွင်ရွေးကောက်ပွဲတွင်အပါတီအဖွဲ့ဝင်အဖွဲ့
ကျူးဘားတွင် နိုင်ငံပိုင် ကြက်သား ခိုးယူရောင်းချမှုအတွက် လူ ၃၀ ဦးကို တရားစွဲ,ကျူးဘားတွင် အစာရေစာပြတ်လပ်မှုကြောင့် ကြက်သား ၁၃၃ တန်ကို ခိုးယူ,ကျူးဘားတွင် အစာရေစာပြတ်လပ်နေချိန် ကြက်သား ၁၃၃ တန် ခိုးယူရောင်းသည့်အမှု ဖြစ်ပွား,ဗြိတိန်တွင်လူသားများကိုအအအအအအအအအအအအ
ပျံတက်မည့် လေယာဉ်တံခါးကို ဖွင့်ခဲ့သည့် ကနေဒါနိုင်ငံသားကို တရားစွဲ,ထိုင်းအဲဝေးလေယာဉ်တံခါးဖွင့်ခဲ့သည့် ကနေဒါနိုင်ငံသား ခရီးသည် ၁ ဦး တရားစွဲခံရ,လေယာဉ်တံခါးဖွင့်ခဲ့သည့် ကနေဒါနိုင်ငံသား ၁ ဦး တရားစွဲခံရ,ချုံမိုင်တွင်ခရီးသည်များကိုကိုစခန်းကိုကိုစွဲ
ကလေးလိင်အလွဲပြုမှုနှင့်ပတ်သက်သူကို လွတ်ငြိမ်းခွင့်ပေးမိသည့် ဟန်ဂေရီသမ္မတ နုတ်ထွက်,ကလေးဂေဟာတွင် လိင်အလွဲလုပ်မှု အရှုပ်တော်ပုံကို ဖုံးကွယ်ရန် ကြိုးစားခဲ့သည့် လူတဦးကို လွတ်ငြိမ်းချမ်သာခွင့်ပေး,ပြစ်ဒဏ်ချမှတ်ခံထားရသည့် လူ ၁ ဦးကို လွတ်ငြိမ်းချမ်သာခွင့်ပေးမိသည့်အပေါ် ဝေဖန်ခံနေရ,ကမ္ဘာသရုပ်သမားဟောင်းကိုအကိုအကိုအသမ္မတဟောင်းကိုအသ
လက်ဘနွန်နယ်စပ်တွင် အစ္စရေး တိုက်ခိုက်မှုကြောင့် ဟဇ်ဘိုလာ ၁ ဦး အပါအဝင် ၄ ဦး သေဆုံး,လက်ဘနွန်တောင်ဘက်နယ်စပ်မှ ဟားမတ်စ်နှင့်နီးစပ်သည့် ပါလက်စတိုင်း ၁ ဦး ပစ်မှတ်ခံရ,ဟားမတ်စ်နှင့် နီးစပ်သည့် ပါလက်စတိုင်းကို အစ္စရေး တိုက်ခိုက်,လက်ဘနွန်တွင်စစ်တပ်ကအစ္စရေးအစ္စရေးအစ္စရေးအစ္စအအ
ကုလအေဂျင်စီ ဂါဇာရုံးချုပ်အောက်တွင် ဟားမတ်စ်ကွပ်ကဲရေးဥမင်ရှိဟု အစ္စရေး ထုတ်ပြန်,ကုလသမဂ္ဂ ပါလက်စတိုင်းဒုက္ခသည်ကယ်ဆယ်ရေးနှင့် လုပ်ငန်းအေဂျင်စီ ဂါဇာရုံးချုပ်အောက်တွင် ဟားမတ်စ်ကွပ်ကဲရေးစင်တာ,ကုလအေဂျင်စီ UNRWA ၏ ဂါဇာရုံးချုပ်အောက် ဟားမတ်စ်ကွပ်ကဲရေးစင်တာ မီတာရာမှ ဥမင်ရာချီ ထွက်လာ,ကုလအစ္စရေးအမတ်စ်အမတ်စ်အဖွဲ့အစ္စရေးအစ္စရေးအဖွဲ့အ
တရုတ်နိုင်ငံတဝန်း ရိုးရာနှစ်သစ်ကို အကောင်းမြင်စိတ်ဖြင့် ကြိုဆို,တရုတ်ရိုးရာနှစ်သစ် ကြိုဆို,တရုတ်ရိုးရာနှစ်သစ်ကို ပြည်သူများကြိုဆို (ဓာတ်ပုံ),တရုတ်နိုင်ငံတဝန်းအတရုတ်တရုတ်တရုတ်နိုင်ငံတဝန်းအ
စစ်ဘက်ဆိုင်ရာ ဒရုန်းထုတ်လုပ်မှု တိုးလာသော်လည်း နည်းပညာပြဿနာရှိနေဟု ရုရှားပြော,ရုရှားစစ်ဘက်ဆိုင်ရာ ဒရုန်းထုတ်လုပ်မှု အရှိန်မြှင့်လာ,စစ်ဘက်ဆိုင်ရာ ဒရုန်းများ ထုတ်လုပ်မှု အရှိန်မြှင့်လာ,ရုရှားကိုအရေးအတွက်အရန်ရန်ရန်ရန်ရန်ဟုဟုရုရှားပြော
ခါကိဗ်မြို့ကို ရုရှားက ဒရုန်းဖြင့်တိုက်ခိုက် ယူကရိန်းကလေး ၃ ဦးအပါအဝင် ၇ ဦး သေဆုံး,ယူကရိန်းတွင် ဒရုန်းလေယာဉ်ဖြင့် တိုက်ခိုက်ခံရပြီး ကလေးငယ် ၃ ဦးအပါအဝင် လူ ၇ ဦးသေဆုံး,ယူကရိန်းနိုင်ငံ ခါကိဗ်မြို့ကို ရုရှား ဒရုန်းဖြင့် တိုက်ခိုက်,ယူကရိန်းလေကြောင်းတိုက်ခိုက်မှုကြောင့်ရုရှားတိုက်ခိုက်
ဆီနီဂေါ၌ ရွေးကောက်ပွဲရွှေ့ဆိုင်းမှုကို ဆန့်ကျင်ဆန္ဒပြသူများနှင့် လုံခြုံရေးတပ်ဖွဲ့ ထိပ်တိုက်တွေ့,ဆီနီဂေါတွင် သမ္မတရွေးကောက်ပွဲကို ရုတ်တရက် နောက်ဆုတ်ရွှေ့ဆိုင်းလိုက်မှု ဆန့်ကျင်သည့် ဆန္ဒပြသူ ရာပေါင်းများစွာနှင့် လုံခြုံရေးတပ်ဖွဲ့များ ထိပ်တိုက်တွေ့,ဆီနီဂေါ ဆန္ဒပြပွဲ လုံခြုံရေးတပ်ဖွဲ့များ ထိပ်တိုက်ရပ်တည်,ဆီနီဂေါတွင်ရွေးကောက်ပွဲတွင်ဆန္ဒပြပွဲများကိုဆန္ဒပြ
ရာထူးမှ ဖယ်ရှားခံရသည့် ယူကရိန်း စစ်ဦးစီးချုပ်ဟောင်း သူရဲကောင်းဘွဲ့ရ,ယူကရိန်းစစ်ဦးစီးချုပ်ဟောင်း ဗိုလ်ချုပ်ကြီး ဗာလရီ ဇာလူဇညီကို သမ္မတ ဇလော် ရာထူးမှ ဖယ်ရှားခံထားရ,ယူကရိန်းစစ်ဦးစီးချုပ်ဟောင်း ဗိုလ်ချုပ်ကြီး ရာထူးမှ ဖယ်ရှားခံရ,ရုရှားသမ္မတဟောင်းကိုအစ္စရေးမှူးများကိုအစ္စရေးအ
ပါကစ္စတန်ရွေးကောက်ပွဲ ၀န်ကြီးချုပ်ဟောင်း နာဝပ်ဇ် ရှရစ်ဖှ် အနိုင်ရ၊ ညွန့်ပေါင်းအစိုးရဖွဲ့ရန် ဆွေးနွေးမည်,ပါကစ္စတန် ၀န်ကြီးချုပ်ဟောင်း နာဝပ်ဇ် ရှရစ်ဖှ် အနိုင်ရ,ပါကစ္စတန် ၀န်ကြီးချုပ်ဟောင်း နာဝပ်ဇ်ရှရစ်ဖှ် နိုင်ငံလုံးဆိုင်ရာရွေးကောက်ပွဲတွင် အနိုင်ရ,ပါကစ္စတန်အစိုးရအပါတီတိုင်းအကြီးချုပ်ကြီးချုပ်ကြီးချုပ်ကြီးချုပ်
မက္ကဆီကို၌ ရေနံယိုစိမ့်သဖြင့် လူ ၂၀၀၀ ကျော်ကို ဘေးလွတ်ရာ ရွှေ့ပြောင်း,မက္ကဆီကိုတွင် နိုင်ငံပိုင် ရေနံကုမ္ပဏီ ပီမက်စ်ပိုက်လိုင်း ယိုစိမ့်ထွက်ကျ,မက္ကဆီကိုတွင် ရေနံယိုစိမ့်ထွက်ကျမှုကြောင့် လူပေါင်း ၂၀၀ ကျော် သေဆုံး,မက္ကဆီကိုတွင်ရေနံရေရေရေရေရေရေ၀၀၀ကျော်ရွှေ့ပြောင်းရွှေ့
ဘိုင်ဒန်ကို တရားမစွဲပါက သူ့ကိုလည်း တရားမစွဲသင့်ဟု ထရမ့်ပြော,ဘိုင်ဒန်ကို တရားမစွဲရန် အမေရိကန်သမ္မတဟောင်း ဒေါ်နယ်လ်ထရမ့်ပ်ပြော,ဘိုင်ဒန်ကို တရားမစွဲပါက သူ့ကိုလည်း တရား မစွဲသင့်ဟု ထရမ့်ပ်အကဲဟောင်းပြော,ကိုတရားစွဲခံရသည့်တရားမဝင်ကိုတရားမတရားမတရား
အိန္ဒိယမြောက်ပိုင်းတွင် ဘုရားကျောင်းဖြိုချမှုနှင့်ပတ်သက်၍ အကြမ်းဖက်မှုဖြစ်ပွား,ဟယ်လ်ဒ်ဝါနီတွင် မဒရာဆာ အစ္စလာမ်မစ် ဘာသာရေးကျောင်းဖြိုဖျက်,အိန္ဒိယတွင် မဒရာဆာ အစ္စလာမ်မစ် ဘာသာရေးကျောင်း ဖြိုဖျက်,အိန္ဒိယတွင်အမျိုးသမီးအအအအကြမ်းဖက်ပစ်ခတ်မှုဖြစ်
ရန်သူကို ချေမှုန်းရန် တွန့်ဆုတ်နေမည်မဟုတ်ဟု မြောက်ကိုရီးယားခေါင်းဆောင်ပြော,မြောက်ကိုရီးယားခေါင်းဆောင် ကင်မ်ဂျုံအန်းကို ချေမှုန်းရန် တွန့်ဆုတ်နေ,မြောက်ကိုရီးယားခေါင်းဆောင် ကင်မ်ဂျုံအန်းက အင်အားသုံးတိုင်းပြည်ကို ချေမှုန်းမည်,မြောက်ကိုရီးယားခေါင်းဆောင်ကင်မ်ဂျုံအန်းကင်မ်ဂျုံအန်းကင်မ်ဂျုံအန်းပြော
ဖိလစ်ပိုင် မြေပြိုမှုကြောင့် အနည်းဆုံး ၁၁ ဦးသေဆုံးပြီး ၁၀၀ ကျော်ပျောက်ဆုံးနေ,မာကိုမြို့တွင် မြေပြိုမှုကြောင့် လူ ၁၀၀ ကျော် ပျောက်ဆုံးနေ,မာ ဖိလစ်ပိုင်တွင် မြေပြိုပြီး လူ ၁၀၀ ကျော် ပျောက်ဆုံးနေ,ဖိလစ်ပိုင်တွင်ရေကြီးပြီးပြိုကျပြီးလူ၁၀၀ကျော်သေဆုံး
ဘရာဇီးသမ္မတဟောင်း ဘော်လ်ဆိုတာရို၏ နိုင်ငံကူးလက်မှတ်ကို ရဲတပ်ဖွဲ့သိမ်းဆည်း,ဘရာဇီးသမ္မတဟောင်း ဘော်လ်ဆိုနာရို၏ နိုင်ငံကူးလက်မှတ် ဖမ်းဆီးခံရ,ဘရာဇီးသမ္မတဟောင်း ဘော်လ်ဆိုရို၏ နိုင်ငံကူးလက်မှတ်ကို ရဲတပ်ဖွဲ့သိမ်းဆည်း,ဘရာဇီးသမ္မတဟောင်းကိုကိုကိုကိုကိုဆီးခံရ
တရုတ်နှစ်သစ်ကူး နဂါးနှစ်တွင် ကလေးများများ မွေးကြရန် စင်ကာပူဝန်ကြီးချုပ် တိုက်တွန်း,တရုတ်နွယ်ဖွားများ နဂါးနှစ်တွင်မွေးသည့်ကလေးကို အထူးမင်္ဂလာရှိဟု စင်ကာပူဝန်ကြီးချုပ်ပြော,စင်ကာပူတွင် နဂါးနှစ်တွင် ကလေးများများ မွေးကြရန် တိုက်တွန်း,တရုတ်ကကလေးများကိုအကလေးများကိုအကလေးများကိုတရုတ်ပြော
ဆေးခြောက်သုံးစွဲမှုဥပဒေ ပြန်လည်ပြင်ဆင်ရန် ထိုင်းအစိုးရထံ တောင်းဆို,ဆေးခြောက်သုံးစွဲခွင့်ပြုသည့် ထိုင်းနိုင်ငံတွင် လူငယ်များအပါအဝင် ကျောင်းသားကလေးငယ်များကြား ကျန်းမာရေးပြဿနာ ဖြစ်လာ,ထိုင်းတွင် ကျောင်းသားကလေးငယ်များကြား ဆေးခြောက်ဆုံးစွဲမှု မြင့်တက်,ဆေးရုံဆေးရုံများကိုအတွက်ထိုင်းအလုပ်များကိုထိုင်းအစိုးရ
ရုရှားနှင့် ယူကရိန်း စစ်သုံ့ပန်း ၁၀၀ အပြန်အလှန်လဲလှယ်,ရုရှားနှင့် ယူကရိန်းတို့ စစ်သုံ့ပန်း ၁၀၀ လဲလှယ်ပြီး အာရပ်စော်ဘွားများ ကြားဝင်ဆောင်ရွက်,ရုရှားနှင့် ယူကရိန်း စစ်သုံ့ပန်း ၁၀၀ လဲလှယ်,ရုရှားစစ်တပ်ကရိန်းကိုစစ်ပွဲကို၀၀၀၀၀၀၀၀၀၀
နီးဗားဒါးပြည်နယ် ရီပတ်ဘလစ်ကန် သမ္မတလောင်း အကြိုရွေးကောက်ပွဲတွင် ထရမ့် ထပ်နိုင်,နီးဗားဒါးပြည်နယ်နှင့် ဗားဂျင်းအိုင်းလန်းနယ်မြေတွင် လူထုစုဝေးမဲပေးပွဲ ပြုလုပ်,နီးဗားဒါးနှင့် ဗားဂျင်းအိုင်းလန်းဒေသတွင် လူထုစုဝေးမဲပေးပွဲ ကျင်းပ,အမေရိကန်သမ္မတရွေးကောက်ပွဲတွင်ရွေးကောက်ပွဲအအရွေးကောက်ပွဲအ
ပါကစ္စတန်ရွေးကောက်ပွဲ တရားဝင် မဲရလဒ်ထုတ်ပြန်မှု နှောင့်နှေးနေ,ပါကစ္စတန် အထွေထွေရွေးကောက်ပွဲတွင် တသီးပုဂ္ဂလဝင်ပြိုင်ကြသည့် ကိုယ်စားလှယ်လောင်းများ အခြေအနေကောင်းနေ,ပါကစ္စတန်ရွေးကောက်ပွဲဝင်ပြိုင်သည့် ကိုယ်စားလှယ်လောင်းများ အခြေအနေကောင်းနေ,ပါကစ္စတန်ဝန်ကြီးချုပ်ဟောင်းရွေးကောက်ပွဲတွင်ရွေးကောက်ပွဲအရားရုံးအ
ဂါဇာရှိ အစ္စရေးစစ်ဆင်ရေးကို အမေရိကန် မထောက်ခံ,ဂါဇာကမ်းမြောင်ဒေသတွင် အစ္စရေးစစ်ဆင်ရေးအစီအစဉ်များကို အမေရိကန် ထောက်ခံမည်မဟုတ်ဟု အိမ်ဖြူတော်ပြော,အစ္စရေးစစ်ဆင်ရေးကို အမေရိကန် မထောက်ခံ,အစ္စရေးအအအအအအအအအအအအအအ
